date,lat,lon,cnt
2015-05-23 23:30:00,26.1833,71.25,14
2015-05-23 23:30:00,45.9,12,18
2015-05-23 23:30:00,45.4667,9.2,23
2015-05-23 23:30:00,48.112,-1.67429,3
2015-05-23 23:30:00,39.8647,-86.2604,6
2015-05-23 23:30:00,38.594,-82.2021,3
2015-05-23 23:30:00,13.75,100.517,6
2015-05-23 23:30:00,-28.1333,153.467,3
2015-05-23 23:30:00,12.3337,6.28493,10
2015-05-23 23:30:00,8.5,4.55,5
2015-05-23 23:30:00,46.4,-81.15,8
2015-05-23 23:30:00,46.5,-80.9667,3
2015-05-23 23:30:00,42.5667,-73.0287,8
2015-05-23 23:30:00,45.7326,-93.9196,12
2015-05-23 23:30:00,23.1319,-82.3642,9
2015-05-23 23:30:00,40.827,-73.9279,12
2015-05-23 23:30:00,20.2333,85.8333,4
2015-05-23 23:30:00,29.9546,-90.0751,4
2015-05-23 23:30:00,31.1801,-91.8749,27
2015-05-23 23:30:00,43.4108,-71.5653,7
2015-05-23 23:30:00,35.4676,-97.5164,6
2015-05-23 23:30:00,29.4241,-98.4936,7
2015-05-23 23:30:00,35.9306,36.6339,14
2015-05-23 23:30:00,35.95,39.0167,4
2015-05-23 23:30:00,21.45,83.9667,5
2015-05-23 23:30:00,41.6362,-70.9342,5
2015-05-23 23:30:00,42.4907,-71.2762,5
2015-05-23 23:30:00,7.26667,10.0667,3
2015-05-23 23:30:00,13.0609,5.23902,12
2015-05-23 23:30:00,31.9,77.15,4
2015-05-23 23:30:00,29.9438,-97.0369,12
2015-05-23 23:30:00,25.2867,51.5333,3
2015-05-23 23:30:00,33.7,73.1667,3
2015-05-23 23:30:00,2.06667,45.3667,3
2015-05-23 23:30:00,25.1723,55.2444,3
2015-05-23 23:30:00,32.799,-86.8073,7
2015-05-23 23:30:00,41.4334,-81.6665,4
2015-05-23 23:30:00,56.95,24.1,3
2015-05-23 23:30:00,-17.8178,31.0447,8
2015-05-23 23:30:00,52.5167,13.4,38
2015-05-23 23:30:00,32.7254,-97.3208,7
2015-05-23 23:30:00,39.0646,-105.327,8
2015-05-23 23:30:00,5.52627,7.48959,3
2015-05-23 23:30:00,41.4995,-81.6954,60
2015-05-23 23:30:00,-16.3695,29.6935,8
2015-05-23 23:30:00,-18.2664,30.9809,3
2015-05-23 23:30:00,-26.6601,153.1,4
2015-05-23 23:30:00,38.4835,-76.983,3
2015-05-23 23:30:00,39.0724,-76.7902,6
2015-05-23 23:30:00,51.4333,0.766667,5
2015-05-23 23:30:00,39.162,-84.4569,9
2015-05-23 23:30:00,42.3314,-83.0458,11
2015-05-23 23:30:00,29.8336,-95.4002,3
2015-05-23 23:30:00,31.106,-97.6475,125
2015-05-23 23:30:00,35.5376,-96.9247,40
2015-05-23 23:30:00,32.7831,-96.8067,16
2015-05-23 23:30:00,-32.8321,151.356,11
2015-05-23 23:30:00,30.2085,-85.6244,18
2015-05-23 23:30:00,40.1135,-111.854,5
2015-05-23 23:30:00,-27.5606,151.954,8
2015-05-23 23:30:00,39.7589,-84.1916,12
